ID,Title,Organization Name,City2,Province2,Date(s),Topics,Summary,Source Link,Image,Image Source Link
1,The Manitoba Human Rights Code,"[""Gay Pride""]",Winnipeg,MB,16-Jul-87,"[""Political Event""]","<span style=""color&#58;black;"">​<p style=""margin&#58;0cm 0cm 8pt;line-height&#58;107%;font-size&#58;11pt;font-family&#58;Calibri, sans-serif;"">The Government of Manitoba&#160;<span style=""font-size&#58;11pt;"">passes The Human Rights Code,&#160;</span><span style=""font-size&#58;11pt;"">with one of the protection groups&#160;</span><span style=""font-size&#58;11pt;"">being sexual orientation</span></p></span>","""https://www.gov.mb.ca/legislature/hansard/33rd_2nd/hansardpdf/91.pdf"", ""https://www.gov.mb.ca/legislature/hansard/33rd_2nd/hansardpdf/91.pdf""",33339206780_64932c9a20_z.jpg,
2,First Winnipeg Pride Parade,"[""Gay Pride""]",Winnipeg,MB,4-Aug-87,"[""First Parade/March""]","<span style=""color&#58;black;"">​<p style=""margin&#58;0cm 0cm 8pt;line-height&#58;107%;font-size&#58;11pt;font-family&#58;Calibri, sans-serif;"">In celebration for the passing of&#160;<span style=""font-size&#58;11pt;"">The Human Rights Code, the first&#160;</span><span style=""font-size&#58;11pt;"">Pride Parade is held in Winnipeg</span></p></span>","""https://libguides.lib.umanitoba.ca/c.php?g=703093&p=4998175"", ""https://libguides.lib.umanitoba.ca/c.php?g=703093&p=4998175""",thumbnail.png,
3,First St-Paul Pride Event,"[""Pride St-Paul""]",St-Paul,AB,June 22nd 2019,"[""First Festival""]","<span style=""color&#58;black;"">​<span style=""font-family&#58;&quot;Times New Roman&quot;, &quot;Times New Roman_MSFontService&quot;, serif;text-align&#58;left;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;"">a community potluck, family dance, and speakers</span></span><br>","""https://www.facebook.com/PrideStPaul/"", ""https://www.facebook.com/PrideStPaul/""",,
4,Peace River Pride Parade 2020,"[""Peace River Pride Society""]",Peace River,AB,30-May-20,"[""Anniversary Celebration"",""COVID-19""]","<span style=""color&#58;black;"">​<span style=""color&#58;rgb(5, 5, 5);font-family&#58;&quot;Segoe UI Historic&quot;, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif;font-size&#58;15px;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;"">On the day that would have been the 10th Peace River Pride Parade, members of the Peace River Pride Society will walk the flag along the route. A video will be on Facebook.</span></span><br>","""https://www.facebook.com/prpridesociety/posts/849532678876094"", ""https://www.facebook.com/prpridesociety/posts/849532678876094""",100637120_849532188876143_2441690247805796352_n.jpg,https://www.facebook.com/prpridesociety/photos/a.347876419041725/849532185542810
5,Edmonton Pride Attendance 1980,"[""Edmonton Pride Festival""]",Edmonton,AB,1980,"[""Attendance Record""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">7</span><span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">5.
Edmonton’s first documented pride gathering</span></span><br>","""https://www.thestar.com/edmonton/2019/06/08/point-of-pride-the-evolution-of-the-lgbtq-movement-in-edmonton.html"", ""https://www.thestar.com/edmonton/2019/06/08/point-of-pride-the-evolution-of-the-lgbtq-movement-in-edmonton.html""",,
6,Edmonton Pride Dates and Locations 1980,"[""Edmonton Pride Festival""]",Edmonton,AB,1980,"[""Festival Dates""]","<span style=""color&#58;black;"">​</span>Dates&#58; ?,&#160;<span style=""font-size&#58;11pt;"">Location&#58;&#160;</span><span lang=""EN-US"" style=""font-size&#58;11pt;line-height&#58;107%;font-family&#58;Calibri, sans-serif;"">Old Strathcona</span>","""https://edmontonjournal.com/news/local-news/pride-parade-set-to-dance-down-whyte-avenue; https://www.queerevents.ca/canada/pride/history; http://theyardsyeg.ca/out-of-the-closets-into-the-streets"", ""https://edmontonjournal.com/news/local-news/pride-parade-set-to-dance-down-whyte-avenue; https://www.queerevents.ca/canada/pride/history; http://theyardsyeg.ca/out-of-the-closets-into-the-streets""",,
7,Edmonton Parade Route 1982,"[""Edmonton Pride Festival""]",Edmonton,AB,Jun-82,"[""Parade Route Change""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">In June 1982, the
city’s first Pride events began. There was no parade, but several small events
grouped together to honour the theme “Gay Pride Through Unity” attracted 250
people. These events grew into Gay and Lesbian Awareness Week around 1984. It
would be a decade after the raid before the first Pride Protest/Parade would
take place, infamously featuring people with bags over their heads to protect
their identities. Official support finally arrived in 1993 when Mayor Jan
Reimer proclaimed Gay and Lesbian Pride Day</span></span><br>","""https://citymuseumedmonton.ca/2021/05/18/the-pisces-bathhouse-raid-igniting-four-decades-of-activism/"", ""https://citymuseumedmonton.ca/2021/05/18/the-pisces-bathhouse-raid-igniting-four-decades-of-activism/""",,
8,Edmonton Pride Dates and Locations 1982,"[""Edmonton Pride Festival""]",Edmonton,AB,"June 24-27, 1982","[""Festival Dates""]","<span style=""color&#58;black;"">​<div style=""""><table align=""left"">
 <tbody><tr>
  <td align=""left"" style=""padding-top&#58;0cm;padding-right&#58;9.0pt;padding-bottom&#58;0cm;padding-left&#58;9.0pt;"">
  <p style=""margin&#58;0cm 0cm 8pt;line-height&#58;107%;font-size&#58;11pt;font-family&#58;Calibri, sans-serif;""><span lang=""EN-US"" style="""">Dates&#58; June 24 - 27<span style="""">&#160; </span></span></p>
  </td>
 </tr></tbody></table></div><span lang=""EN-US"" style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Location&#58; Camp Harris</span></span><br>","""https://www.queerevents.ca/canada/pride/history"", ""https://www.queerevents.ca/canada/pride/history""",,
9,Edmonton Pride Dates and Locations 1983,"[""Edmonton Pride Festival""]",Edmonton,AB,"June 23 - July 3, 1983","[""Festival Dates""]","<span>Dates&#58; June 23 – July 3<br></span><div>Location&#58; Various. Lesbian Book Sale at Common Woman Books (8208 104 St.), Art Appreciation Night at Flashback (10330 104 St.) &#160;Country outing at Ellerslie Rugby Park, Movie screenings at Ziedler Hall (9828 161A Ave.), Art Exhibition at Different Strokes (10244 106 St.) Discussion at Paul Kane House (10220 121 St.), &#160;Music Night at Theatre Network (11845 77 St.) Awards night and GPW Dance at Phoenix Hall (10853 98 St.), Bruch at Flashback, Gay Christian Celebration at Unitarian Church Building 126 St. And 110 Ave</div>","""https://citymuseumedmonton.ca/2020/11/18/the-imperial-sovereign-court-of-the-wild-rose-part-1-the-first-twenty-five-years/; Archival materials (MS-595 GALA Series 5 Box 11,"", ""File 1 (& o/s MS Map Cabinet)), https://citymuseumedmonton.ca/2020/11/18/the-imperial-sovereign-court-of-the-wild-rose-part-1-the-first-twenty-five-years/; Archival materials (MS-595 GALA Series 5 Box 11, File 1 (& o/s MS Map Cabinet))""",,
10,Edmonton Pride Dates and Locations 1989,"[""Edmonton Pride Festival""]",Edmonton,AB,27-Jun-89,"[""Festival Dates""]","<span style=""color&#58;black;"">​<span>Dates&#58; June 27 &#160;<br></span><div>Location&#58; could not find online&#160;</div></span>","""https://www.proquest.com/canadiannews/docview/251464367/F8C120B2EF964CD8PQ/2"", ""https://www.proquest.com/canadiannews/docview/251464367/F8C120B2EF964CD8PQ/2""",,
